id,category,created_at,external_games,keywords,name,similar_games,slug,tags,updated_at,url,checksum,cover,first_release_date,involved_companies,platforms,release_dates,screenshots,storyline,summary,videos,websites,age_ratings,aggregated_rating,aggregated_rating_count,game_modes,genres,player_perspectives,rating,rating_count,themes,total_rating,total_rating_count,alternative_names,collection,ports,artworks,follows,franchise,franchises,parent_game,game_engines,multiplayer_modes,status,hypes,dlcs,bundles,expansions,expanded_games,version_parent,version_title,remakes,standalone_expansions,remasters
73817,0,10/5/17 0:00,"[147971, 1870903]","[1097, 1219, 2396, 4260, 5570]",Spy Snatcher,"[18290, 58702, 58867, 59500, 59720, 79064, 80069, 80402, 110737]",spy-snatcher,"[536872009, 536872131, 536873308, 536875172, 536876482]",8/26/20 0:00,https://www.igdb.com/games/spy-snatcher,75f3bf36-8dde-5c81-094d-39d8aec99219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112119,0,11/16/18 0:00,"[1616043, 1911731]",,Woohoojin Bridges,,woohoojin-bridges,,8/26/20 0:00,https://www.igdb.com/games/woohoojin-bridges,b4d4f454-57b9-9378-2464-7a58a827a2fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134130,0,5/24/20 0:00,[1976473],,Astrå,,astra,,11/6/20 0:00,https://www.igdb.com/games/astra,56409683-3766-3ff2-ab0c-04200b1b3a00,103250,1443052800,[99737],"[34, 39]","[196951, 196952]","[385364, 385365, 385366, 385367, 385368, 385369]","Hemera is the goddess of daylight. She upholds the balance between day and night, between light and darkness. 
Creatures of the night steal the light in their quest for eternal darkness, and Hemera embarks on an adventure to restore the balance, this is the starting point of Astrå.","A game inspired by Greek mythology. Astrå is the adventure of Hemera, the goddess of daylight. 
 
Hemera upholds the balance between day and night, between light and darkness. Creatures of the night steal the light in their quest for eternal darkness, and Hemera embarks on an adventure to restore the balance, this is the starting point of Astrå. 
 
Astrå is a one touch arcade platformer, the use of gravity mechanics gives the player a freedom of movement that hasn’t been seen on one touch games before. As you advance, you will solve puzzles and unlock secrets. 
 
The atmospheric music and quirky art will immerse you in a unique universe. 
 
Help Hemera fight darkness, and discover the wonders and secrets of the unique Astrå universe!",[36272],"[141403, 141404, 141405, 141406, 141407]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21667,0,7/28/16 22:40,"[115710, 220247, 1923649, 2006171]","[350, 934, 4134, 4144, 4428, 4841, 4964, 5315, 9647]",Siesta Fiesta,"[20329, 25646, 28070, 36198, 55173, 55190, 55984, 56033, 105049, 119305]",siesta-fiesta,"[1, 27, 268435465, 268435486, 268435487, 536871262, 536871846, 536875046, 536875056, 536875340, 536875753, 536875876, 536876227, 536880559]",10/5/21 22:26,https://www.igdb.com/games/siesta-fiesta,846d44ef-ee37-6fc9-7ec2-9de36cdf3e0d,86968,1406160000,[38000],[37],"[54410, 143137, 143138]","[29401, 29402, 172385, 172386, 172387, 172388, 172389, 172390, 172391]",,"Siesta Fiesta is a colorful action game where players take control of the snoozing Siesta as he's taken on a one-of-a-kind tour of Fiestaville: home to the beloved Fiestas. Use Siesta's bed to bounce, boost and rebound across the island's 8 fun-filled regions. Siesta Fiesta combines various elements of classic arcade gameplay to create a truly unique adventure. Use the ball-like Siesta to smash Pinata Blocks, activate Power-Ups, battle bosses and trigger a host of whacky contraptions. With its intuitive gameplay and varied level design, Siesta Fiesta aims to appeal to both long-time gamers and newcomers alike.",[9171],[8498],[9231],68,3,[1],"[9, 30, 31]",[4],69,0,"[1, 27]",68.5,3,,,,,,,,,,,,,,,,,,,,,
172773,0,10/1/21 17:42,[2127350],[19521],Legend Of Yashiyu 2,"[54775, 69007, 96217, 99118, 103303, 106987, 112191, 113636, 113910, 115653]",legend-of-yashiyu-2,"[17, 27, 268435468, 536890433]",10/1/21 18:16,https://www.igdb.com/games/legend-of-yashiyu-2,6b028de0-ec9a-b452-e51d-d767deee34e9,182476,1104969600,[151162],[6],[314558],"[644002, 644003, 644004]",,,,[228826],,,,[1],[12],,,,"[17, 27]",,,[75045],7357,,,,,,,,,,,,,,,,,,,
123080,0,10/7/19 0:00,"[1775704, 1914359]",,Wizardry I・II,,wizardry-iii,,8/26/20 0:00,https://www.igdb.com/games/wizardry-iii,6ed87504-ca5d-a513-127d-9903fe49e1f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78744,0,12/25/17 0:00,"[118747, 1899218]","[1148, 4157]",Winning Post 4,"[18623, 27378, 31515, 36346, 40470, 44178, 44242, 80382, 107215]",winning-post-4,"[268435466, 268435469, 536872060, 536875069]",8/26/20 0:00,https://www.igdb.com/games/winning-post-4,7620778c-c599-82a9-b7a0-5076f48fa8d1,57693,937612800,,[8],[153586],,,Winning Post returns for a PlayStation-exclusive entry.,,,,,,,"[10, 13]",,,,,,,,770,,,,,,,,,,,,,,,,,,,
77377,0,12/12/17 0:00,"[196523, 1866243]",,Jimmy's Soccer Manager,,jimmys-soccer-manager,,8/26/20 0:00,https://www.igdb.com/games/jimmys-soccer-manager,25fc525e-4fa7-5820-c788-d1dec329ffe2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20132,0,7/9/16 22:19,"[44772, 155580, 250826]","[25, 296, 970, 1025, 1158, 1375, 1507, 1783, 1821, 2385, 3627, 3782, 3831, 4035, 4134, 4183, 4246, 4393, 4446, 5310, 5503, 5507, 6215, 6832, 7500]",Wild Metal Country,"[11544, 11550, 13200, 17130, 24620, 27092, 55038, 57187, 68286, 68287]",wild-metal-country,"[1, 18, 268435461, 268435471, 536870937, 536871208, 536871882, 536871937, 536872070, 536872287, 536872419, 536872695, 536872733, 536873297, 536874539, 536874694, 536874743, 536874947, 536875046, 536875095, 536875158, 536875305, 536875358, 536876222, 536876415, 536876419, 536877127, 536877744, 536878412]",10/28/21 9:53,https://www.igdb.com/games/wild-metal-country,920da0d5-888c-7880-a8dc-5f25ba06ba7f,17477,946598400,,[6],[57145],,,"Wild Metal Country is an action game designed for single-player or multiplayer LAN play, where the player can choose different types of tanks and fight with other tanks on different planets.",,"[178340, 178341]",[17642],80,0,,"[5, 15]",,,,"[1, 18]",80,0,[7409],,[80092],,,,,,,,,,,,,,,,,,
148841,0,5/25/21 13:13,"[2013524, 2057257]",,Peg Adventure - Solo Noble,"[65827, 75948, 94741, 106992, 111043, 113895, 115850, 119788, 120028, 121309]",peg-adventure-solo-noble,[268435488],8/31/21 22:51,https://www.igdb.com/games/peg-adventure-solo-noble,b3c1da0b-8d05-3837-e4a2-17c12e67b41f,174829,,,,,"[462065, 462066, 462067, 462068, 462069, 462070, 462071]",,"Welcome to an adventure through the Peg Adventure dungeon! Solve the puzzles to unlock valuable and unusual relics from the ancient tombs. Inspired by the game Peg Solitaire (Solo Noble), it offers new possibilities for creative and challenging solutions.",,[192688],,,,,[32],,,,,,,,,,[33084],,,,,,,,,,,,,,,,,
154922,0,7/11/21 11:57,"[2072168, 2072356]",,孙美琪疑案：雨儿胡同,"[27266, 28277, 37419, 55282, 75948, 87514, 87975, 96217, 106992, 111130]",sun-mei-qi-yi-an-yu-er-hu-tong,"[268435487, 268435488]",7/26/21 12:41,https://www.igdb.com/games/sun-mei-qi-yi-an-yu-er-hu-tong,0bd5be1b-0e98-4b60-c15f-676cdfdd0788,157777,1640908800,,[6],[297744],"[514365, 514372, 514380, 514385, 514388, 514390, 514393, 514396, 514397, 514399]",,1990年冬天，后海湖边槐树下，发现一名女尸，衣着整齐坐在槐树下，颈部缠绕着一根吉他弦，为主要致死原因，双手有被吉他弦勒伤的痕迹，初步判定为自杀。死亡时间越凌晨2点左右，死者叫关雨珑。林警官，请你在错综复杂的线索中，寻找凶案的真相。,,[197038],,,,,"[31, 32]",,,,,,,,,,[40709],,,,,,,,,,,,,,,,,
8285,0,12/11/14 8:20,"[39469, 78215, 145755, 1193147]","[40, 67, 197, 215, 350, 413, 563, 575, 594, 736, 826, 966, 1027, 1079, 1202, 1219, 1375, 1416, 1735, 1834, 1846, 1935, 2052, 2324, 2337, 2416, 2542, 2957, 3203, 3794, 4130, 4138, 4166, 4169, 4186, 4187, 4316, 4343, 4363, 4375, 4418, 4422, 4432, 4571, 4581, 4590, 4591, 4594, 4619, 4630, 4725, 4753, 4756, 4829, 4880, 4940, 4988, 5006, 5109, 5186, 5268, 5362, 5426, 5461, 5488, 5621, 5684, 5714, 5765, 5775, 5858, 5963, 6117, 6235, 6408, 6539, 6957, 7048, 7085, 7155, 7214, 7348, 7382, 7643, 7653, 8109, 8114, 8175, 8205]",Teenagent,"[533, 1334, 1882, 1906, 2939, 3188, 7342, 9727, 11118, 11270]",teenagent,"[27, 268435458, 268435487, 536870952, 536870979, 536871109, 536871127, 536871262, 536871325, 536871475, 536871487, 536871506, 536871648, 536871738, 536871878, 536871939, 536871991, 536872114, 536872131, 536872287, 536872328, 536872647, 536872746, 536872758, 536872847, 536872964, 536873236, 536873249, 536873328, 536873454, 536873869, 536874115, 536874706, 536875042, 536875050, 536875078, 536875081, 536875098, 536875099, 536875228, 536875255, 536875275, 536875287, 536875330, 536875334, 536875344, 536875483, 536875493, 536875502, 536875503, 536875506, 536875531, 536875542, 536875637, 536875665, 536875668, 536875741, 536875792, 536875852, 536875900, 536875918, 536876021, 536876098, 536876180, 536876274, 536876338, 536876373, 536876400, 536876533, 536876596, 536876626, 536876677, 536876687, 536876770, 536876875, 536877029, 536877147, 536877320, 536877451, 536877869, 536877960, 536877997, 536878067, 536878126, 536878260, 536878294, 536878555, 536878565, 536879021, 536879026, 536879087, 536879117]",9/18/21 0:49,https://www.igdb.com/games/teenagent,425f8d31-613e-2034-2d9a-8bb06a6e83ca,110896,762220800,"[20232, 20234, 20235, 42992]","[3, 6, 13, 14, 16]","[23844, 23845, 23846, 23847, 23848, 23849]","[7708, 7709, 7710, 7711, 7712]",,The CD version was the first game to be released on CD-ROM in Poland.,,[118493],,,,[1],"[2, 31]",[2],69.70001397,5,[27],69.70001397,5,"[3091, 3092, 16646, 43111]",,,,7,,,,,,,,,,,,,,,,
172774,0,10/1/21 18:05,[2127349],,CardWirth,"[19404, 94772, 96217, 99118, 102420, 106987, 111253, 112191, 113636, 116992]",cardwirth,"[17, 268435468, 268435488, 268435491]",10/1/21 18:16,https://www.igdb.com/games/cardwirth,3385075f-ce38-7637-5a54-040ae85bedb6,182478,902534400,[151165],[6],[314565],"[644010, 644011]",,,,[228834],,,,[1],"[12, 32, 35]",,,,[17],,,[75051],,,,,,,,,,,,,,,,,,,,
176473,0,10/15/21 11:32,[2134666],,Klepto Planet Attack,"[100800, 103302, 109606, 113149, 113895, 116350, 116352, 116353, 118871, 120268]",klepto-planet-attack,"[1, 268435470]",10/15/21 11:58,https://www.igdb.com/games/klepto-planet-attack,1df5c827-2ec7-642b-acf4-cd792828c646,,,,,,"[663811, 663815]",,Kick It!,,[236053],,,,,[14],,,,[1],,,,,,,,,,,,,,,,,,,,,,,
73979,0,10/5/17 0:00,"[149192, 1870260]",[1026],Rogue: The Adventure Game,"[57296, 70707, 80598, 82709, 82815, 82832, 82917, 82941, 83403]",rogue-the-adventure-game,[536871938],8/26/20 0:00,https://www.igdb.com/games/rogue-the-adventure-game,1aebba58-bf3b-6d0a-85cf-7970d8acac29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176454,0,10/15/21 11:30,[2134672],,Find Yer Treasure!,"[1447, 35737, 49414, 51213, 56036, 99118, 111287, 112082, 112416, 113636]",find-yer-treasure,[268435468],10/15/21 11:58,https://www.igdb.com/games/find-yer-treasure,d95b129b-a58b-24a6-7f7a-8f091d95e65a,,,,,,"[663755, 663759]",,Retro rogue-like pirate action!,,[236030],,,,,[12],,,,,,,,,,,,,,,,,,,,,,,,,,,
88906,0,2/23/18 10:43,[255809],,MADDEN NFL Football,"[101573, 103218, 109606, 114285, 116352, 116353, 118871, 120126, 121435]",madden-nfl-football--2,"[268435469, 268435470]",1/6/21 10:46,https://www.igdb.com/games/madden-nfl-football--2,91a099c7-39ef-4744-3a2b-4b9edb0a1748,64377,1409011200,,[39],[149760],"[204378, 204379, 204380, 204381, 204382, 204383, 204384, 204385, 204386, 204387]",,"Be the G.O.A.T. in the greatest Madden NFL season yet. Become the GM of your favorite football franchise and handpick a team of stars and legends. Train with the best as Tom Brady takes you through his favorite drills and provides tips on building an unstoppable team. Compete in Draft Tournaments, win the Super Bowl, stay up to date with the real NFL, and play through the careers of current football icons. It’s all here, it’s all fresh, in Madden NFL.",,[76185],,,,,"[13, 14]",,90,0,,90,0,,,,,,,,,,,,,,,,,,,,,
19670,0,6/17/16 0:00,"[144813, 1872718]",,Mega Math,"[27792, 100843, 101099, 101435, 101569, 122274, 122276, 122277, 131985]",mega-math,[34],8/26/20 0:00,https://www.igdb.com/games/mega-math,e729b8e7-fe16-976c-251f-90ae944ceec0,,725760000,"[36561, 36562]",[13],[52343],,,,,,,,,[1],,[1],,,[34],,,,,,,,,,,,,,,,,,,,,,,
46729,0,7/10/17 13:00,"[34782, 43838, 1950099]",,OpenTyrian,,opentyrian,,2/1/21 8:14,https://www.igdb.com/games/opentyrian,400e79c2-e587-8770-f2a8-26aeac42ac12,,1199059200,,[6],[226897],,,"Tyrian is an arcade-style vertical scrolling shooter. The story is set in 20,031 where you play as Trent Hawkins, a skilled fighter-pilot employed to fight Microsol and save the galaxy. 
 
OpenTyrian is a port of the DOS shoot-em-up Tyrian. Jason Emery generously gave the OpenTyrian developers a copy of the Tyrian 2.1 source code, which has since been ported from Turbo Pascal to C. The port uses SDL, making it easily cross-platform.",,"[168037, 168038]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13940,0,10/20/15 17:46,"[48713, 1974917]",,Ah Diddums,,ah-diddums,,6/30/21 14:30,https://www.igdb.com/games/ah-diddums,609af936-e010-3241-7647-fa9c946502f1,22581,473299200,"[140559, 140560, 140561]",[15],[296092],"[502879, 502880, 502881]",,,,,,,,[1],[33],[4],,,,,,,,,,,,,,,,,,,,,,,,,,
4916,0,2/5/14 2:27,"[36660, 137009, 1191074, 1304110, 1304111, 1747307]","[25, 1293, 4142, 4157, 4813, 4975]",Hot Wheels: Beat That!,"[4917, 10626, 27378, 27553, 40470, 44178, 55192, 63232, 80382, 120268]",hot-wheels-beat-that,"[268435466, 536870937, 536872205, 536875054, 536875069, 536875725, 536875887]",8/23/21 14:46,https://www.igdb.com/games/hot-wheels-beat-that,fc90f2dd-bbe3-0dfa-1b6b-488501392640,110643,1183334400,"[11844, 11845, 11846]","[5, 6, 8, 12, 20, 38]","[11315, 11316, 11317, 11318, 11319, 11320]",,,"Sometimes, the biggest action comes in the smallest package! Get behind the wheel of any of 30 cars pulled straight from the Hot Wheels lineup. Race on 12 tracks built to scale - corkscrews, loops, shortcuts and hidden paths, chokepoints, and interactive elements - then battle on four different battlegrounds. Put the pedal to the metal in five different gameplay modes, including Race, Eliminator, Rampage, and Battle.",,,[2565],50,1,"[1, 4]",[10],"[1, 2]",,,,50,1,,444,,,,88,[88],,,,,,,,,,,,,,
51757,1,7/21/17 21:53,"[76863, 2044742]",,Craft The World: Sisters in Arms,"[18623, 31515, 33603, 36962, 51577, 55888, 65827, 79134, 102163, 107992]",craft-the-world-sisters-in-arms,"[268435469, 268435471, 268435488]",9/18/21 0:48,https://www.igdb.com/games/craft-the-world-sisters-in-arms,d7dfbd73-5df2-d2ff-ced9-297e34e7e710,,,,,,"[554315, 554316, 554317, 554318, 554319, 554320, 554321]",,"About the Update Sisters in Arms is an official update to Craft the World that features new characters, special items, weapons, and decor, as well as creatures with new abilities. Primary features: ● New characters: Female dwarves. The hard-working dwarves will be joined by their charming sisters in arms.",,"[118721, 206247]",,,,,"[13, 15, 32]",,,,,,,,,,,,,,14554,,,,,,,,,,,,,
153514,0,6/23/21 15:13,"[2029024, 2063462]","[27, 2786, 29188]",Greats of the Gridiron,"[25311, 35994, 36553, 37419, 55077, 103218, 114286, 114287, 118871, 121435]",greats-of-the-gridiron,"[1, 32, 268435469, 268435470, 268435471, 536870939, 536873698, 536900100]",7/20/21 14:09,https://www.igdb.com/games/greats-of-the-gridiron,ea305ca2-fe9b-f8d8-4d90-6956665eb11b,154453,1631232000,[139848],[6],[293303],"[525844, 525845, 525847, 525850, 525853, 525857, 525859, 525861, 525862, 525863, 525864, 525865, 525866]",,"Greats of the Gridiron is a football simulation experience where must Outdraft, Outdesign, and Outcoach other coaches to stake your claim to Greatness.",[51472],"[188122, 188123, 188124, 188125]",,,,"[1, 2]","[13, 14, 15]",[2],,,"[1, 32]",,,,,,[41702],,,,,[439],[15367],3,,,,,,,,,,
141409,0,12/5/20 19:44,,"[9, 1079, 1656, 4514]",Mirage,,mirage--1,,12/7/20 12:44,https://www.igdb.com/games/mirage--1,faebbc66-f5fa-fe45-4998-d002793f6e0f,121132,820368000,"[114203, 114204]","[6, 14]","[220767, 220768]",,,"In the 19th century a young cavalryman gets raided. His girlfriend Jenny is kidnapped by a cult that plans to sacrifice her. Now the player has to rescue her and bring the culprit to justice while searching the desert, stepping through portals, and activating ""mirages"" which provide the backstory of the game through live-action videos or letters.",,,,,,[1],"[9, 31]",[1],,,"[17, 22]",,,,,,,,,,,,,,,,,,,,,,,
87665,0,2/16/18 0:00,"[224354, 1955516]",,Crime Coast - Mob versus Mafia,,crime-coast-mob-versus-mafia,,11/6/20 0:00,https://www.igdb.com/games/crime-coast-mob-versus-mafia,31f3d7ea-f90c-6fe4-f2de-f050c51585c3,,,,,,,,,,,,,,,,,20,0,,20,0,,,,,,,,,,,,,,,,,,,,,
35959,0,5/27/17 12:02,"[9653, 112307, 1593117]","[426, 1027, 1158, 2493, 4004, 4134, 4957, 5262]",A.V.,"[10388, 13189, 25222, 28309, 35994, 36198, 51945, 55190, 56033, 76110]",av,"[268435487, 268435488, 536871338, 536871939, 536872070, 536873405, 536874916, 536875046, 536875869, 536876174]",7/26/21 12:40,https://www.igdb.com/games/av,947cc735-f505-94b7-6409-77b0d7c34fb9,40359,1423785600,,"[3, 6, 14]","[82474, 82475, 82476]","[89575, 89576, 89577, 89578, 89579]",,"A.V. is a first-person stealth-puzzle-musical-adventure game (Try saying that 5 times fast). The game places the player in the role of a rogue music-processing algorithm from a computer's sound systems. From this role, the player can view the world only through audible means. When idle, the player views the game world as only a plain, black void. However, each sound in the game sends out a pulse of energy, illuminating a small portion of the world around that sound's source. Through this function, players can visualize their surroundings and learn to navigate through a strange and complex computer world.",,"[38323, 38324]",,,,[1],"[31, 32]",[7],,,,,,,,,,1,,,,,,,,,,,,,,,,
148178,0,5/19/21 8:35,[2012749],,RPG Shooter: Starwish,"[19164, 55038, 99118, 103301, 112191, 113636, 141463, 143170, 144285, 145147]",rpg-shooter-starwish,"[17, 268435461]",5/20/21 8:20,https://www.igdb.com/games/rpg-shooter-starwish,dc489b70-1dd4-8cff-d6a2-1af43d82b648,140878,,,,,,,"NewGrounds Flash game by xdanond. Side scroll shooter with optional multi branch in-depth story and RPG character leveling, adjustable ship and weapon shop. Simple but pretty retro graphics, crazy awesome soundtrack, just all around fun for casual or challenging game play in 2 difficulties and 1 save game slot.",,[182512],,,,[1],[5],[4],,,[17],,,,,,,,,,,,,,1,,,,,,,,,
26026,0,11/27/16 21:43,"[22794, 151267, 1869125]","[218, 296, 1027, 4142, 4382, 6429, 11216]",Gremlins: The Adventure,"[22387, 24426, 27092, 28309, 36198, 47823, 55199, 65503, 96217, 115653]",gremlins-the-adventure,"[17, 268435487, 536871130, 536871208, 536871939, 536875054, 536875294, 536877341, 536882128]",7/3/21 7:44,https://www.igdb.com/games/gremlins-the-adventure,b00f89f4-c54d-f6e4-80b3-b500c16c7628,19051,504835200,[58305],"[15, 25, 26, 69, 93, 94, 134]","[61348, 61349, 61350, 61351, 61352, 128804, 128805]","[512306, 512307]",,"There were three warnings.
Keep them out of light, especially sunlight. Don't ever get them wet. Keep them away from water.

But the most important thing, the thing you must never forget . . . no matter how much they cry, no matter how much they beg never, never feed them after midnight.”",,,,,,[1],[31],"[1, 5]",,,[17],,,,1665,,,,,[638],,,,,,,,,,,,,,
26768,10,1/13/17 10:21,"[35500, 217109, 385145, 1931528, 2000661, 2007564]","[171, 1069, 1209]",Disgaea 5 Complete,"[7615, 13196, 19404, 26268, 93694, 99118, 111253, 112191, 116992, 119171]",disgaea-5-complete,"[17, 268435468, 268435471, 268435472, 536871083, 536871981, 536872121]",10/5/21 22:26,https://www.igdb.com/games/disgaea-5-complete,fcdae2f4-c8b4-1419-9dec-04c9fecd5372,99827,1488499200,"[64011, 64012]","[6, 130]","[65486, 65487, 65488, 160045]","[44222, 156558, 156559, 156560, 156561, 156562, 156563, 156564, 156565, 156566, 156567, 156568]","""In a galaxy, darker than the pitch blackness of the universe, countless Netherworlds exist. In each Netherworld, there is an Overlord who reigns over its hot-blooded demons, and maintains the balance of the Netherworlds by keeping each other in check. But the sudden appearance of Demon Emperor Void Dark and his army, Lost, has ravaged many Netherworlds, forcing them to surrender. 
 
At the same time, there's been a young demon that stands alone against the growing powers of Lost. His name is Killia. He is an unknown demon that swore to take revenge on Demon Emperor Void Dark, and defeat the Lost that's been destroying various Netherworlds. Unexpectedly, he happened to save Princess Overlord Seraphina. Killia, accepted by Seraphina as a capable servant, has begrudgingly agreed to accompany her to overthrow Void Dark...""","Full story of the original with 8 new scenarios, 4 fan favorite characters, and 3 character classes from the Disgaea series.","[11658, 12827]","[18657, 18658, 77383]","[28084, 28085]",90,2,[1],"[12, 15, 16]",[3],84.55079186,13,[17],87.27539593,15,[8014],987,,[12878],9,,,11594,,,,1,,,,,,,,,
138188,0,9/2/20 0:00,[1979600],[25555],Covetous,"[25646, 27266, 55282, 68271, 81275, 103295, 108778, 109550, 111130]",covetous,"[19, 268435487, 268435488, 536896467]",11/6/20 0:00,https://www.igdb.com/games/covetous,e33b30e8-201c-b0a0-fa94-35b5f8dde5b3,113725,1279843200,[107159],[82],[208997],,,"Given a chance at life, a choice must be made by a being whose tragic fate is to parasitically grow inside another.",,,,,,[1],"[31, 32]",[4],,,[19],,,,,,,,,,,[64],,,,,,,,,,,,
7435,0,6/24/14 19:18,"[12798, 40444, 123748, 190269, 245152]","[19, 92, 453, 466, 526, 594, 872, 1821, 2180, 2385, 2493, 2542, 3794, 3831, 4134, 4225, 4319, 4330, 4446, 4552, 4580, 4891, 4895, 6305]",Heroes & Generals,"[15536, 17446, 19549, 22387, 30229, 31480, 32365, 36553, 78550, 106112]",heroes-generals,"[1, 22, 39, 268435461, 268435471, 268435480, 268435488, 536870931, 536871004, 536871365, 536871378, 536871438, 536871506, 536871784, 536872733, 536873092, 536873297, 536873405, 536873454, 536874706, 536874743, 536875046, 536875137, 536875231, 536875242, 536875358, 536875464, 536875492, 536875803, 536875807, 536877217]",10/1/21 18:16,https://www.igdb.com/games/heroes-generals,25f28b50-274c-7267-5dbc-057c3653a301,118378,1474588800,[17572],[6],[130845],"[6069, 6070, 6071, 6072, 6073]",,"Heroes & Generals is the ultimate WW2 game. A free-to-play MMOFPS, where Germany, the United States and the Soviet Union fight for victory in one grand, persistent online war fought by players across the world with access to a huge arsenal of vehicles and weapons. You fight and make friends as a team and as part of a huge and growing community. No matter if you play as Infantry, Tank crew, Fighter pilot, Paratrooper, Recon or as a General taking strategic decisions – everything you do makes a difference in the war.","[2695, 2696, 17128]","[44905, 44906, 63937, 63938, 63939, 63940, 63941, 63942]",,,,"[2, 3, 5]","[5, 15, 24, 32]","[1, 2]",55.89255065,25,"[1, 22, 39]",55.89255065,25,"[14806, 14807]",,,"[1104, 1105, 1106, 1107, 1108]",10,,,,[32],,,2,"[156172, 161720, 161906, 161907, 161908, 161909, 161910, 161911, 161912, 161913, 161914, 161915, 161916, 161917, 161918, 161919, 161920, 161921, 161922, 161923, 161924, 161925, 161926, 161927, 161928]",,,,,,,,
71923,0,9/29/17 0:00,"[153703, 1867773]","[103, 226, 227, 236, 900, 970, 1026, 1027, 3540, 3782, 4249, 4390, 4446, 4449, 4543, 4572, 4668, 4711, 4878, 5037, 5116, 5117, 5578, 5667, 6116, 6623, 7582]",Redmoon,"[1877, 10297, 10388, 25311, 26574, 27092, 28309, 35994, 55038]",redmoon,"[1, 18, 268435468, 268435471, 268435487, 536871015, 536871138, 536871139, 536871148, 536871812, 536871882, 536871938, 536871939, 536874452, 536874694, 536875161, 536875302, 536875358, 536875361, 536875455, 536875484, 536875580, 536875623, 536875790, 536875949, 536876028, 536876029, 536876490, 536876579, 536877028, 536877535, 536878494]",8/26/20 0:00,https://www.igdb.com/games/redmoon,bbdbf0c3-4396-dc97-c8e4-be24d38016d9,54092,,,,,,,"Redmoon is an online rpg based on a manga of the same name. The game, which focusses heavily on grinding, lets players choose from one of the 9 main characters from that manga.",,,,,,[5],"[12, 15, 31]",,,,"[1, 18]",,,,,,,,,,,,,,,,,,,,,,,
176456,0,10/15/21 11:30,[2134668],,Captain Hookfoot,"[25222, 25646, 27266, 27725, 33110, 95776, 104008, 106992, 109129, 110503]",captain-hookfoot,"[268435465, 268435487]",10/15/21 11:58,https://www.igdb.com/games/captain-hookfoot,b3b5afde-5908-0e68-a5ff-ffb35da8aa62,,,,,,"[663757, 663762, 663766]",,A small point-and-click puzzle/adventure game made by a group of college students,[56263],[236032],,,,,"[9, 31]",,,,,,,,,,,,,,,,,,,,,,,,,,,
87239,0,2/15/18 0:00,"[232268, 1992766]",,Edge Runner,,edge-runner,,11/6/20 0:00,https://www.igdb.com/games/edge-runner,0a2ed9b3-7888-bc5e-6ae4-41f299f2dd9b,,,,,,,,,,,,,,,,,60,0,,60,0,,,,,,,,,,,,,,,,,,,,,
122784,0,10/6/19 0:00,[1955210],,Evol Online,,evol-online,,11/6/20 0:00,https://www.igdb.com/games/evol-online,8e136df0-eb41-b485-7656-f8e6044ea91d,,,,,,,,Evol Online is a 2D fantasy-style game which aims to create a friendly environment for interacting with others where people can escape reality and enjoy themselves.,,"[117833, 117834, 117835, 117836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77380,0,12/12/17 0:00,"[196516, 1866262]",,Mr. Angry,,mr-angry,,8/26/20 0:00,https://www.igdb.com/games/mr-angry,63449731-af15-54a6-0354-2e8208cb6d61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60762,0,9/8/17 0:00,"[112791, 1902266]","[296, 350, 698, 982, 2049, 6867, 9430]",Tatsu no Ko Fighter,"[8255, 19150, 24426, 26226, 37001, 55190, 56033, 76960, 89597]",tatsu-no-ko-fighter,"[27, 268435464, 268435481, 536871208, 536871262, 536871610, 536871894, 536872961, 536877779, 536880342]",8/26/20 0:00,https://www.igdb.com/games/tatsu-no-ko-fighter,20ab4aaa-bd25-5bd8-c45d-2f549ac59fa3,40615,624844800,,[86],[119110],,,A side-scrolling platformer featuring a bizarre cast of characters created by manga artist Akira Miyashita.,,,,,,,"[8, 25]",,,,[27],,,[11681],,,,,,,,,,,,,,,,,,,,
